ms1,b1,e1,id2,ms2,b2,e2,ch_match
181,1,1150,Shamela0011780,353,213,1511,795
181,1160,1627,Shamela0011780,355,706,1283,358
181,1,491,Shamela0023735,2766,1137,1535,301
181,491,867,Shamela0023735,2767,1,288,171
182,491,973,ShamAY0033559,10,259,828,270
182,491,960,Shamela0001043,172,158,570,189
182,1,327,Shamela0011780,356,54,547,186
182,491,989,Shamela0011780,356,1037,1618,289
182,1050,1566,Shamela0011780,357,11,533,348
182,491,824,Shamela0011790,73,43,423,178
182,461,955,Shamela0023735,456,795,1284,359
182,1065,1569,Shamela0023735,1964,337,802,310
183,251,612,ShamAY0033559,10,824,1103,177
183,318,847,Shamela0009631,426,406,861,312
183,1,847,Shamela0011780,357,536,1647,585
183,850,1712,Shamela0011780,358,1,1083,630
183,306,1017,Shamela0011790,77,475,1207,417
183,13,889,Shamela0023735,1964,815,1488,457
183,1008,1244,Shamela0023735,2374,1178,1419,166
184,42,723,Shamela0011780,358,1037,1663,394
184,723,1578,Shamela0011780,359,1,814,586
184,456,1100,Shamela0011787,306,910,1569,280
184,750,1202,Shamela0023735,966,1,463,290
185,730,1100,ShamDhahabiyya0056999,277,1,404,139
185,1,826,Shamela0011780,359,814,1638,545
185,881,1195,Shamela0011780,360,20,523,229
185,1200,1683,Shamela0011780,360,747,1238,308
186,34,222,Shamela0001043,418,467,681,145
186,1,616,Shamela0011780,360,1251,1658,287
186,683,1663,Shamela0011780,361,100,976,565
187,508,1056,MSG20191024,192,41,209,111
187,1,586,Shamela0011780,361,976,1571,418
187,586,1545,Shamela0011780,362,1,943,691
187,75,556,Shamela0011787,441,416,1040,247
188,815,1042,Shamela0001043,350,1000,1212,157
188,1,627,Shamela0011780,362,943,1611,433
188,627,1591,Shamela0011780,363,1,1134,694
188,770,1042,Shamela0023849,125,178,484,187
189,293,1190,Shamela0001043,172,619,1377,467
189,330,716,Shamela0009631,399,207,560,227
189,279,1580,Shamela0011780,364,13,1378,940
189,257,563,Shamela0023735,456,1299,1639,195
189,563,1147,Shamela0023735,457,1,500,377
190,240,1588,Shamela0011780,365,16,1399,974
190,424,1174,Shamela0011790,73,900,1645,420
190,1303,1588,Shamela0011790,74,1,199,122
191,1,185,Shamela0011780,365,1399,1596,147
191,185,873,Shamela0011780,366,1,905,508
191,851,1497,Shamela0011780,366,883,1687,441
191,1,559,Shamela0011790,74,199,766,383
192,1,1489,Shamela0011780,367,156,1631,1060
192,1489,1622,Shamela0011780,368,1,184,102
192,916,1540,Shamela0011790,74,949,1513,382
193,1,1370,Shamela0011780,368,187,1649,911
193,1370,1638,Shamela0011780,369,54,382,177
194,4,824,Shamela0011780,369,416,1695,465
194,812,1572,Shamela0011780,370,72,1034,514
195,1,637,Shamela0011780,370,1034,1619,464
195,959,1369,Shamela0011780,371,1085,1604,268
195,1369,1625,Shamela0011780,372,1,337,173
195,1,416,Shamela0011780,390,1206,1494,220
196,949,1300,ShamDhahabiyya0056999,272,1156,1491,188
196,949,1237,Shamela0009429,1416,481,767,170
196,1,1107,Shamela0011780,372,337,1550,699
196,1126,1565,Shamela0011780,373,36,497,296
196,887,1442,Shamela0011790,76,739,1365,326
197,411,685,Shamela0011484,405,1188,1479,193
197,1,1128,Shamela0011780,373,497,1628,873
197,1128,1565,Shamela0011780,374,1,430,339
197,443,685,Shamela0023735,1964,12,253,176
197,74,285,Shamela0023735,2706,724,933,147
198,332,1043,Shamela0011780,375,506,1682,476
199,1,270,Shamela0011780,376,1367,1634,189
199,265,893,Shamela0011780,377,40,1063,353
199,510,754,Shamela0023735,247,48,351,160
200,681,1075,ShamDhahabiyya0056999,268,613,991,181
200,717,1206,Shamela0023735,431,698,1356,308
201,649,883,Shamela0011780,385,1021,1574,138
202,1,945,Shamela0011780,387,659,1627,706
202,945,1505,Shamela0011780,388,1,563,412
202,1077,1481,Shamela0011787,447,804,1279,277
203,1,913,Shamela0011780,388,568,1505,605
203,996,1518,Shamela0011780,389,60,423,274
204,1,509,Shamela0011780,389,426,949,387
204,680,1695,Shamela0011780,390,1,1044,749
204,25,463,Shamela0011787,310,976,1473,255
204,1118,1632,Shamela0011787,442,860,1342,271
205,130,649,Shamela0011780,370,1013,1502,368
205,1,857,Shamela0011780,390,1053,1624,431
205,853,1619,Shamela0011780,391,410,1058,478
206,1,531,Shamela0011780,391,1058,1610,416
206,531,1617,Shamela0011780,392,1,1218,796
206,985,1440,Shamela0011787,448,137,646,301
207,1,470,Shamela0011780,392,1218,1611,240
207,470,1375,Shamela0011780,393,1,834,588
208,59,273,Shamela0011780,6,1249,1489,162
208,325,695,Shamela0011780,7,1,295,181
208,457,977,Shamela0011780,18,1,480,267
