id,book,alignments,ch_match
MSG20191024,0390Muqaddasi.AhsanTaqasim,10,2312
SHAM19Y23644,0654SibtIbnJawzi.MiratZaman,4,941
Sham19Y0013231,0468IbnAhmadWahidiNaysaburi.TafsirBasit,1,101
Sham19Y0013667,0855BadrDinCayni.NukhabAfkar,1,530
Sham19Y0018147,0736IbnDawadari.KanzDurar,2,455
ShamAY0033559,0842IbnNasirDinDimashqi.Tanqih,2,447
ShamAY0033828,0348Narshakhi.TarikhBukhara,1,100
ShamAY0034447,0842IbnNasirDinDimashqi.JamicAthar,1,104
ShamAY0034694,1119IbnMacsum.TirazAwwal,1,548
ShamAY0038405,0817MajdDinFiruzabadi.Maghanim,4,720
ShamAY0038419,0950Anonymous.CumdatAkhbarMukhtar,1,123
ShamDhahabiyya0056999,0732AbuFida.TaqwimBuldan,39,6915
Shamela0000471,0690IbnMujawirDimashqi.TarikhMustabsir,3,757
Shamela0001002,1041Maqqari.NafhTib,1,275
Shamela0001043,0900AbuCabdAllahHimyari.RawdMictar,8,1610
Shamela0003298,0852SirajDinIbnWardi.KharidatCajaib,9,4042
Shamela0005756,0855BadrDinCayni.CumdatQari,3,974
Shamela0006710,1346CabdQadirBadran.Munadama,2,601
Shamela0008648,1147IbnSharafDinKhalili.FatawaKhalili,1,412
Shamela0009429,0821Qalqashandi.SubhAcsha,12,2399
Shamela0009631,0682ZakariyaQazwini.AtharBilad,6,1184
Shamela0010798,0660IbnCadim.BughyatTalab,7,1220
Shamela0010809,1450YusufHadi.HududCalam,3,568
Shamela0011214,0324Ashcari.RisalaIlaAhlThughr,1,175
Shamela0011484,0739SafiDinHanbali.Marasid,8,1228
Shamela0011566,0845Maqrizi.Mawaciz,2,457
Shamela0011780,0367IbnHawqal.SuratArd,339,157094
Shamela0011787,0560SharifIdrisi.NuzhatMushtaq,56,14038
Shamela0011790,0749IbnFadlAllahCumari.MasalikAbsar,12,4037
Shamela0011800,0300IbnKhurdadhbih.MasalikWaMamalik,1,289
Shamela0012286,1396KhayrDinZirikli.Aclam,1,482
Shamela0012532,0721IbnRushaydSabti.MalCayba,2,307
Shamela0012935,1369MuhammadRida.Muhammad,2,652
Shamela0021598,1204SulaymanJamal.Hashiya,1,117
Shamela0023695,0911Samhudi.WafaWafa,2,274
Shamela0023735,0626YaqutHamawi.MucjamBuldan,105,26571
Shamela0023849,0487AbuCubaydBakri.MasalikWaMamalik,6,1035
Shamela0035100,0748Dhahabi.TarikhIslam,1,216
Shamela0096232,0676Nawawi.IdahFiManasikHajj,1,129
Shia001148,0381IbnBabawayh.MacaniAkhbar,1,126
Shia001389,0830IbnSulaymanHilli.MukhtasarBasair,1,124
Shia002937,0575IbnBabawayh.Fihrist,1,127
Shia002964Vols,1212BahrCulum.FawaidRijaliyya,1,144
Shia003633,1332HassunBuraqi.TarikhKufa,3,890
Shia003965Vols,1205MurtadaZabidi.TajCarus,1,123
Shia004022,0803BahaDinNajafi.MuntakhabAnwar,1,150
Shia004664,1137FadilHindi.SharhCayniyya,1,115
